Full File Path,Site Location,Date,Camera
Camera/N1West_15_07_2019_C36_S63.7z,N1 West Motorway,15_07_2019,C36
Camera/N1West_26_08_2019_C36_S43.7z,N1 West Motorway,26_08_2019,C36
Camera/N1West_30_09_2019_C36_S52.7z,N1 West Motorway,30_09_2019,C36
Camera/Taifa_03_01_2020_C21_S60.7z,Taifa,03_01_2020,C21
Camera/ASH_17_02_2020_C6_S49.7z,Ashaiman,17_02_2020,C6
Camera/Nima_07_02_2020_C27_S30.7z,Nima,07_02_2020,C27
Camera/Taifa_14_06_2019_C21_S32.7z,Taifa,14_06_2019,C21
Camera/AD_06_12_2019_C17_S2.7z,Asylum Down,06_12_2019,C17
Camera/Nima_29_11_2019_C2_S5.7z,Nima,29_11_2019,C2
Camera/EL_02_09_2019_C12_S26.7z,East Legon,02_09_2019,C12
Camera/Nima_30_08_2019_C2_S11.7z,Nima,30_08_2019,C2
Camera/AD_21_06_2019_C4_S45.7z,Asylum Down,21_06_2019,C4
Camera/JT_10_01_2020_C31_S17.7z,Jamestown,10_01_2020,C31
Camera/EL_17_02_2020_C32_S21.7z,East Legon,17_02_2020,C32
Camera/UGH_23_12_2019_C33_S44.7z,University of Ghana,23_12_2019,C33
Camera/Taifa_28_06_2019_C21_S44.7z,Taifa,28_06_2019,C21
Camera/ASH_21_10_2019_C6_S42.7z,Ashaiman,21_10_2019,C6
Camera/Nima_14_02_2020_C2_S9.7z,Nima,14_02_2020,C2
Camera/TMW_13_01_2020_C30_S11.7z,Tema Motorway,13_01_2020,C30
Camera/JT_03_05_2019_C31_S33.7z,Jamestown,03_05_2019,C31
Camera/AD_28_02_2020_C4_S5.7z,Asylum Down,28_02_2020,C4
Camera/ASH_07_10_2019_C6_S5.7z,Ashaiman,07_10_2019,C6
Camera/JT_19_07_2019_C31_S14.7z,Jamestown,19_07_2019,C31
Camera/JT_28_02_2020_C31_S49.7z,Jamestown,28_02_2020,C31
Camera/TMW_29_07_2019_C19_S11.7z,Tema Motorway,29_07_2019,C19
Camera/NM_03_05_2019_C02_S22.7z,Nima,03_05_2019,C02
Camera/UGH_18_11_2019_C33_S44.7z,University of Ghana,18_11_2019,C33
Camera/TMW_13_01_2020_C19_S8.7z,Tema Motorway,13_01_2020,C19
Camera/EL_21_10_2019_C32_S46.7z,East Legon,21_10_2019,C32
Camera/UGH_03_02_2020_C33_S9.7z,University of Ghana,03_02_2020,C33
Camera/Nima_13_09_2019_C27_S26.7z,Nima,13_09_2019,C27
Camera/LA_10_01_2020_C16_S43.7z,Labadi,10_01_2020,C16
Camera/Taifa_18_10_2019_C22_S17.7z,Taifa,18_10_2019,C22
Camera/EL_10_02_2020_C12_S31.7z,East Legon,10_02_2020,C12
Camera/AD_20_03_2020_C17_S17.7z,Asylum Down,20_03_2020,C17
Camera/JT_14_06_2019_C31_S31.7z,Jamestown,14_06_2019,C31
Camera/N1West_15_07_2019_C15_S65.7z,N1 West Motorway,15_07_2019,C15
Camera/AD_13_12_2019_C17_S31.7z,Asylum Down,13_12_2019,C17
Camera/N1West_11_11_2019_C15_S31.7z,N1 West Motorway,11_11_2019,C15
Camera/ASH_06_05_2019_C6_S28.7z,Ashaiman,06_05_2019,C6
Camera/Taifa_18_10_2019_C21_S61.7z,Taifa,18_10_2019,C21
Camera/TMW_20_05_2019_C19_S11.7z,Tema Motorway,20_05_2019,C19
Camera/Nima_01_11_2019_C27_S60.7z,Nima,01_11_2019,C27
Camera/N1West_20_05_2019_C33_S43.7z,N1 West Motorway,20_05_2019,C33
Camera/LA_31_01_2020_C16_S8.7z,Labadi,31_01_2020,C16
Camera/ASH_09_03_2020_C6_S49.7z,Ashaiman,09_03_2020,C6
Camera/LA_10_05_2019_C35_S17.7z,Labadi,10_05_2019,C35
Camera/LA_03_05_2019_C35_S14.7z,Labadi,03_05_2019,C35
Camera/Nima_12_07_2019_C2_S26.7z,Nima,12_07_2019,C2
Camera/N1West_04_11_2019_C15_S14.7z,N1 West Motorway,04_11_2019,C15
Camera/LA_07_06_2019_C35_S26.7z,Labadi,07_06_2019,C35
Camera/Nima_19_07_2019_C2_S44.7z,Nima,19_07_2019,C2
Camera/ASH_17_06_2019_C6_S21.7z,Ashaiman,17_06_2019,C6
Camera/N1West_03_02_2020_C15_S11.7z,N1 West Motorway,03_02_2020,C15
Camera/LA_25_10_2019_C16_S8.7z,Labadi,25_10_2019,C16
Camera/UGH_28_10_2019_C33_S17.7z,University of Ghana,28_10_2019,C33
Camera/UGH_01_07_2019_C25_S17.7z,University of Ghana,01_07_2019,C25
Camera/AD_30_08_2019_C4_S42.7z,Asylum Down,30_08_2019,C4
Camera/ASH_15_07_2019_C6_S33.7z,Ashaiman,15_07_2019,C6
Camera/EL_23_12_2019_C32_S49.7z,East Legon,23_12_2019,C32
Camera/UGH_09_12_2019_C33_S110.7z,University of Ghana,09_12_2019,C33
Camera/TMW_02_12_2019_C19_S32.7z,Tema Motorway,02_12_2019,C19
Camera/AD_02_08_2019_C4_S60.7z,Asylum Down,02_08_2019,C4
Camera/ASH_18_11_2019_C6_S65.7z,Ashaiman,18_11_2019,C6
Camera/EL_05_08_2019_C32_S65.7z,East Legon,05_08_2019,C32
Camera/TMW_07_10_2019_C30_S65.7z,Tema Motorway,07_10_2019,C30
Camera/JT_30_08_2019_C31_S21.7z,Jamestown,30_08_2019,C31
Camera/N1West_22_07_2019_C36_S42.7z,N1 West Motorway,22_07_2019,C36
Camera/Nima_06_12_2019_C2_S9.7z,Nima,06_12_2019,C2
Camera/EL_20_05_2019_C18_S19.7z,East Legon,20_05_2019,C18
Camera/ASH_13_05_2019_C6_S30.7z,Ashaiman,13_05_2019,C6
Camera/Nima_28_02_2020_C2_S17.7z,Nima,28_02_2020,C2
Camera/N1West_14_10_2019_C15_S33.7z,N1 West Motorway,14_10_2019,C15
Camera/Taifa_27_09_2019_C21_S85.7z,Taifa,27_09_2019,C21
Camera/EL_02_12_2019_C12_S49.7z,East Legon,02_12_2019,C12
Camera/AD_03_01_2020_C4_S11.7z,Asylum Down,03_01_2020,C4
Camera/JT_14_02_2020_C31_S61.7z,Jamestown,14_02_2020,C31
Camera/AD_08_11_2019_C4_S44.7z,Asylum Down,08_11_2019,C4
Camera/UGH_02_03_2020_C25_S33.7z,University of Ghana,02_03_2020,C25
Camera/TMW_23_09_2019_C30_S28.7z,Tema Motorway,23_09_2019,C30
Camera/UGH_16_12_2019_C25_S18.7z,University of Ghana,16_12_2019,C25
Camera/LA_16_08_2019_C16_S65.7z,Labadi,16_08_2019,C16
Camera/JT_06_09_2019_C31_S61.7z,Jamestown,06_09_2019,C31
Camera/UGH_07_10_2019_C25_S85.7z,University of Ghana,07_10_2019,C25
Camera/LA_28_02_2020_C16_S30.7z,Labadi,28_02_2020,C16
Camera/N1West_23_09_2019_C36_S34.7z,N1 West Motorway,23_09_2019,C36
Camera/TMW_24_06_2019_C19_s13.7z,Tema Motorway,24_06_2019,C19
Camera/Taifa_17_05_2019_C22_S9.7z,Taifa,17_05_2019,C22
Camera/Nima_23_08_2019_C2_S8.7z,Nima,23_08_2019,C2
Camera/UGH_29_04_2019_C12_S10.7z,University of Ghana,29_04_2019,C12
Camera/EL_16_12_2019_C12_S2.7z,East Legon,16_12_2019,C12
Camera/TMW_08_07_2019_C30_S60.7z,Tema Motorway,08_07_2019,C30
Camera/AD_05_07_2019_C4_S52.7z,Asylum Down,05_07_2019,C4
